section,question,n_target_rules,n_retrieved_rules,len_context
1 Introduction,How many players are on each team in a game of ultimate?,1,1,6869
1 Introduction,What happens when a pass is incomplete in a game of ultimate?,1,1,5812
1 Introduction,Can a player run while holding the disc in ultimate?,1,0,6145
1 Introduction,"In ultimate, how is the disc advanced during play?",1,0,6458
1 Introduction,Who is responsible for officiating the game in ultimate?,1,1,7152
1 Introduction,What is the Event Organizer Clause in the rules of ultimate?,1,1,7456
1 Introduction,What is the Captain's Clause in the rules of ultimate?,1,1,5527
1 Introduction,"Can the rules of ultimate be modified for specific events? If so, how?",2,2,6049
1 Introduction,What is meant by 'Spirit of the Game' in ultimate?,1,0,4418
1 Introduction,How do specific rules relate to general rules in ultimate?,1,1,5894
2 Spirit of the Game,What is the core principle behind 'Spirit of the Game' in ultimate?,1,1,4418
2 Spirit of the Game,Who is responsible for knowing and adhering to the rules in ultimate?,1,1,6817
2 Spirit of the Game,What should happen if a player intentionally violates the rules in ultimate?,1,1,6839
2 Spirit of the Game,What are players required to do when acting as officials in disputes?,10,10,7310
2 Spirit of the Game,"Can a player be removed from the game for poor spirit, and if so, how?",1,1,6055
2 Spirit of the Game,What actions should players take to support good spirit in ultimate?,9,9,5364
2 Spirit of the Game,What actions are considered violations of the Spirit of the Game?,8,8,5842
2 Spirit of the Game,How should teams handle teaching and maintaining the Spirit of the Game?,5,5,5102
2 Spirit of the Game,What is expected of experienced players when a novice player commits an infraction?,1,1,7123
2 Spirit of the Game,What should players do if they cannot agree on what occurred during a play?,3,3,6803
3 Definitions,What is the definition of 'best perspective' in ultimate?,1,1,4993
3 Definitions,Can sideline players offer their perspective without being asked by a player?,1,1,6381
3 Definitions,What constitutes a completed pass in ultimate?,1,1,4171
3 Definitions,How is a foul defined in ultimate?,1,0,5067
3 Definitions,What does 'ground contact' include in ultimate?,1,1,5121
3 Definitions,When is a defender considered to be guarding an offensive player?,1,0,1062
3 Definitions,What is the definition of incidental contact in ultimate?,1,1,6505
3 Definitions,What defines a 'legal position' for a marker in ultimate?,1,1,6043
3 Definitions,What does 'possession of the disc' entail in ultimate?,3,3,5886
3 Definitions,What is a 'pull' in ultimate?,1,0,4186
4 Playing Field,What is the recommended surface for an ultimate playing field?,1,1,7688
4 Playing Field,Are the perimeter lines considered part of the playing field in ultimate?,1,1,6245
4 Playing Field,What are the end zones in ultimate?,1,1,6471
4 Playing Field,Where are brick marks located on an ultimate field?,1,1,5602
4 Playing Field,What is the central zone in ultimate?,1,1,7815
4 Playing Field,Where are the goal lines located on an ultimate field?,1,1,5552
4 Playing Field,What is the purpose of the equipment line in ultimate?,1,1,7565
4 Playing Field,What should be done if play is obstructed by spectators or objects within five yards of the playing field?,1,0,6215
4 Playing Field,How are the corners of the central zone and the end zones marked?,1,1,3344
4 Playing Field,Where are reverse brick marks located on an ultimate field?,1,1,5125
5 Equipment,What should be done if team captains cannot agree on which disc to use?,1,1,6190
5 Equipment,Can players wear clothing with hard or sharp components during a game?,1,1,6082
5 Equipment,Are players allowed to wear metallic baseball cleats during a game?,1,1,6298
5 Equipment,What is recommended for player attire in tournament play?,1,1,6339
5 Equipment,Can a player use their clothing to help catch the disc?,1,1,5671
5 Equipment,Is it acceptable for a player to spike the disc violently after scoring?,1,0,7024
5 Equipment,Are players allowed to communicate using electronic devices during a point?,1,1,6054
5 Equipment,Can a player wear a jersey that is the same color as the opposing team?,1,1,2350
5 Equipment,Is it against the rules to use a hearing aid during a game?,1,1,4845
5 Equipment,What should players avoid doing with field markers?,1,0,6701
6 Length of Game,What is the game total in a standard game of ultimate?,1,1,7041
6 Length of Game,When does halftime begin in a game of ultimate?,2,1,6401
6 Length of Game,How long is the standard halftime in a game of ultimate?,1,1,6051
6 Length of Game,What happens at the soft cap in an ultimate game?,1,1,4847
6 Length of Game,What occurs if the hard cap is reached during halftime?,1,1,4648
6 Length of Game,What is the procedure if the score is tied when the hard cap is reached?,1,1,3279
6 Length of Game,How is the new halftime target determined if the halftime cap is reached?,1,1,4591
6 Length of Game,What is the time allowed for the offense to line up after halftime ends?,1,1,5436
6 Length of Game,What is the time allowed for the defense to pull after halftime ends?,1,1,6436
6 Length of Game,How is the new game total determined if the soft cap occurs during halftime?,1,0,4363
7 Timeouts,How many team timeouts does each team have per half in a standard ultimate game?,1,1,5641
7 Timeouts,What is the duration of a team timeout in ultimate?,1,1,5591
7 Timeouts,Can a timeout be called between a re-pull call and the ensuing pull in ultimate?,1,1,6106
7 Timeouts,Who can call a timeout after the pull in ultimate?,1,1,5657
7 Timeouts,What should a player do to call a timeout after the pull in ultimate?,1,1,5528
7 Timeouts,What happens if a thrower calls a timeout when the team has no timeouts remaining in ultimate?,1,1,6444
7 Timeouts,What is the primary concern during an injury timeout in ultimate?,2,2,5500
7 Timeouts,Who can call an injury timeout in ultimate?,1,1,6531
7 Timeouts,What happens if an injured player does not leave the game after an injury timeout in ultimate?,1,1,5500
7 Timeouts,What is a spirit timeout in ultimate?,1,1,3831
8 Player Substitutions,When can a team make player substitutions in ultimate?,1,0,5452
8 Player Substitutions,Can a team substitute players after a re-pull call in ultimate?,1,0,5447
8 Player Substitutions,Is it allowed to substitute players after a goal in ultimate?,1,0,5659
8 Player Substitutions,What conditions allow player substitutions to replace injured players in ultimate?,1,0,5800
8 Player Substitutions,Can a team substitute players to replace those with illegal equipment in ultimate?,1,0,4980
8 Player Substitutions,What happens if a player is removed due to misconduct in ultimate?,1,0,6809
8 Player Substitutions,Can substitutions be made to resolve an incorrect personnel violation in ultimate?,1,0,6262
8 Player Substitutions,Are there any restrictions on the number of players an opposing team can substitute if the other team makes a substitution due to injury?,1,0,6002
8 Player Substitutions,What is the rule regarding player substitutions after a goal in ultimate?,1,0,6283
8 Player Substitutions,Under what circumstances can player substitutions occur after a re-pull call in ultimate?,1,0,4859
9 Starting and Restarting Play,How is it determined which team chooses to receive or throw the initial pull at the start of the game?,1,0,3964
9 Starting and Restarting Play,What happens if only one team fails to signal readiness for the start of a scheduled game?,1,0,6450
9 Starting and Restarting Play,What must occur before the pull can be made at the start of each half or after each goal?,1,0,4826
9 Starting and Restarting Play,What is the maximum number of players a team can have on the field to signal readiness for the pull?,1,0,6041
9 Starting and Restarting Play,What must players on the pulling team do after signaling readiness but before the pull is made?,1,0,6102
